"","main_category","state","backers","country","usd_pledged_real","usd_goal_real","date_diff"
"127618",9,0,639,22,25186.38,80000,30
"127627",13,1,34,9,2258.03,2219.19,30
"127647",7,3,0,22,0,6500,26
"127653",5,0,6,22,176,4500,30
"127657",7,0,6,22,196,1600,41
"127669",13,0,1,2,0.75,14967.82,21
"127681",13,0,0,22,0,11000,60
"127706",13,0,0,22,0,33000,57
"127713",11,1,70,22,3297,2500,20
"127718",11,3,0,22,0,10000,45
"127723",7,0,19,22,951,24500,60
"127727",13,0,7,22,320,6485,30
"127729",2,3,105,22,5917,13000,30
"127733",14,0,15,22,1653,6000,30
"127744",3,1,46,22,4130,3500,21
"127745",7,0,0,22,0,400,21
"127758",5,0,1,4,229.32,3822.05,45
"127786",6,3,102,6,4310.4,29322.42,32
"127790",9,0,10,4,224.13,759.76,30
"127801",1,1,165,22,33428,30000,30
"127802",6,3,0,22,0,1500,30
"127805",1,1,59,22,2030,2000,30
"127807",8,0,0,22,0,1e+05,30
"127824",13,0,0,22,0,450,14
"127825",6,1,54,22,3426.86,3150,22
"127834",13,0,1,22,25,500,30
"127837",6,0,96,22,5607,25000,30
"127866",5,1,12,22,1000,1000,30
"127884",7,1,5,22,316,300,60
"127886",7,0,1,22,32,85000,30
"127909",11,0,4,12,94.95,307.2,30
"127916",8,0,1,22,25,2200,29
"127927",13,1,55,22,5123,5000,33
"127939",11,1,51,22,2026,1500,26
"127944",8,1,75,4,7619.68,7477.75,30
"127947",1,0,1,22,12,5000,40
"127949",7,0,203,22,19409.01,60000,40
"127970",6,0,15,22,3165,14000,32
"127973",7,0,2,22,6,300,49
"127980",7,1,32,2,1773.61,1576.54,30
"127983",14,0,2,22,23.23,250000,30
"127994",11,0,2,22,106,1200,27
"128009",11,1,42,22,3230,3000,29
"128014",11,1,65,22,3064,3000,32
"128029",14,0,1,22,5,100,60
"128035",8,0,54,22,3863,10000,30
"128046",5,1,179,22,20851,10000,41
"128048",11,0,0,22,0,10000,30
"128049",15,0,19,10,758.29,6600.46,30
"128052",14,0,1,22,2,7000,29
"128057",2,1,420,22,15599,12500,32
"128066",9,0,147,22,6382.34,45000,30
"128067",1,3,0,22,0,500,30
"128082",9,3,19,9,1747.18,10588.96,30
"128093",9,1,226,22,12610,10000,30
"128116",6,1,7,10,2927.01,2918.26,31
"128119",13,3,5,4,236.77,3329.63,45
"128138",9,1,16,22,416.5,200,14
"128144",11,0,5,22,183,5000,30
"128157",1,0,0,22,0,5000,51
"128209",9,3,55,22,2213,15000,30
"128222",8,0,1,22,5,55000,30
"128235",11,0,7,22,375,10000,60
"128238",8,1,111,22,13108,13000,30
"128243",13,0,555,22,55824,1e+05,32
"128246",11,1,114,22,6212,5500,30
"128277",5,1,828,20,34571.99,24799.35,30
"128285",14,0,46,9,1126.53,56270.19,30
"128287",12,0,1,22,1,10000,2
"128310",14,0,0,22,0,35000,30
"128326",11,1,121,22,9017,8000,30
"128330",15,1,12,22,277,250,22
"128353",14,0,0,3,0,21528.06,30
"128366",13,1,211,22,18031,16700,24
"128367",11,1,57,22,5600,5000,30
"128384",13,0,0,22,0,750,2
"128397",1,1,198,22,5139,2000,30
"128399",14,3,0,22,0,10000,30
"128415",13,0,0,22,0,2500,30
"128417",2,0,6,22,147,426,26
"128431",5,1,47,19,34408.31,27975.94,45
"128438",7,0,482,22,29157,50000,30
"128448",13,1,48,22,2447,1500,25
"128452",9,0,35,22,1261,50000,60
"128470",9,0,2,10,7.97,1328.29,30
"128479",11,1,167,22,11741.99,10000,30
"128481",1,0,4,4,115.52,990.18,30
"128482",11,1,34,22,1017,900,15
"128489",3,3,0,22,0,950,30
"128508",13,0,1,10,8.29,99464.55,60
"128521",1,0,4,22,55,50000,60
"128524",7,0,29,22,838,7500,30
"128525",11,1,72,22,5632,5000,46
"128548",7,1,49,20,3661.36,612.68,30
"128566",5,0,7,22,175,7500,23
"128579",14,0,2,4,8.75,1192.84,30
"128595",9,0,78,22,15002,32000,60
"128596",11,0,27,10,2542.61,14706.6,30
"128613",5,0,2,10,35.33,16825.39,30
"128624",9,3,4,22,91,2000,30
"128649",6,0,4,19,327.58,3317.3,60
"128666",5,0,2,22,2,5000,45
"128667",9,0,4,22,45,30000,30
"128690",7,1,491,22,30175.27,10000,30
"128709",13,0,13,6,2556.53,19134.08,40
"128712",15,1,21,22,2210,2000,34
"128719",14,1,11,22,1859,1000,15
"128724",11,1,72,22,4092,3500,91
"128736",11,3,1,22,10,7500,30
"128744",7,1,264,22,14496.88,8888,30
"128763",12,0,9,22,287,5000,31
"128767",11,0,0,22,0,30000,60
"128770",9,3,4,10,52.75,15823.62,45
"128782",1,0,2,22,40,2900,40
"128788",7,0,0,22,0,1100,30
"128793",13,0,0,22,0,4500,30
"128816",7,0,125,22,11581,60000,50
"128817",12,0,805,22,137350.5,4e+05,29
"128821",15,1,79,22,5813,5000,30
"128828",6,3,5,10,411.05,40298.53,35
"128856",8,0,18,22,855,1000,51
"128897",7,1,65,22,4070,4000,27
"128907",13,0,16,22,2106,9077,30
"128912",15,1,33,22,2700,2200,60
"128916",15,0,2,22,70,2500,55
"128918",14,0,1,17,1.12,178960.91,21
"128922",7,0,0,22,0,250000,30
"128924",11,0,0,19,0,2159.98,30
"128954",13,0,65,22,2947,6000,47
"128955",6,1,87,22,15175,15000,30
"128966",9,0,18,22,458,1500,30
"128968",7,1,34,17,1775.73,1769.24,20
"128971",13,0,0,22,0,500,31
"128972",12,1,18,10,427.24,394.37,40
"128977",7,0,16,22,512,15500,24
"128989",1,3,1,10,130.88,1047.04,40
"128990",7,3,10,10,559.98,39214.46,30
"128991",13,0,0,9,0,2180.41,30
"128992",12,1,106,22,9907,8000,31
"128994",11,1,68,22,4460,4000,34
"129010",6,0,1,10,1.54,9226.65,30
"129020",7,1,69,22,20050,20000,21
"129021",7,1,30,22,1622.22,1500,30
"129023",8,0,5,22,355,5000,30
"129027",11,0,1,4,0.77,7711.29,60
"129031",5,0,20,22,460,5500,21
"129039",13,1,324,22,21000,12000,30
"129043",5,1,52,22,5439,4000,40
"129045",8,1,66,4,5421.75,4852.41,30
"129051",8,0,290,10,26882.54,45806.25,30
"129057",7,1,23,22,1161,1000,27
"129075",7,1,22,10,375.64,323.82,14
"129089",5,0,286,22,27387,1e+05,39
"129092",14,1,34,22,4959.88,2500,38
"129109",11,0,2,22,45,2000,30
"129117",11,0,53,22,3874,13000,26
"129138",7,0,3,22,3,50000,60
"129142",7,1,51,22,15624,15000,30
"129147",11,0,2,22,15,1500,30
"129154",7,0,5,22,225,2700,49
"129157",9,3,0,2,0,2216.15,60
"129159",13,0,1,22,50,3000,25
"129170",13,0,1,22,1,1500,30
"129172",15,1,75,22,10007,9000,27
"129181",9,0,27,22,375,2000,30
"129187",5,3,0,22,0,5000,30
"129188",5,1,1694,22,48835.14,15000,60
"129199",13,1,96,22,4723,3800,30
"129201",11,1,174,22,8682,3500,41
"129213",7,0,2,22,30,12000,30
"129220",13,0,0,10,0,11560.16,30
"129239",7,0,14,20,985.06,11590.31,26
"129248",7,0,2,22,80,25000,30
"129256",7,1,36,22,615,600,62
"129259",11,0,9,10,211.24,655.58,60
"129262",11,1,72,22,3731,3500,35
"129264",5,0,5,22,126,25000,30
"129280",12,1,50,6,7453.12,7120.82,30
